org.java_websocket.WebSocketImpl@6e56c1cc is connected       - [17/03/06 12:59:50][INFO][websocket.WebSocket-86]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:00:19][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:00:20][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@21b80513 is connected       - [17/03/06 13:00:27][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 13:00:28][INFO][websocket.HeartBeat-24]
林智凱 is disconnected. (onClose)                               - [17/03/06 13:00:42][INFO][websocket.WebSocket-64]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:01:07][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:01:08][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@2df481d is connected        - [17/03/06 13:01:17][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 13:01:17][INFO][websocket.HeartBeat-24]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:32:36][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:32:36][INFO][websocket.WebSocket-51]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:34:04][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:34:05][INFO][websocket.WebSocket-51]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:35:28][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:35:29][INFO][websocket.WebSocket-51]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:49:14][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:49:15][INFO][websocket.WebSocket-51]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:49:44][INFO][com.Info360.db.DBAccess-42]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:51:12][INFO][com.Info360.db.DBAccess-42]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:52:37][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:52:38][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@1e32132f is connected       - [17/03/06 13:53:31][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 13:53:31][INFO][websocket.HeartBeat-24]
org.java_websocket.WebSocketImpl@6ca0c899 is connected       - [17/03/06 13:53:36][INFO][websocket.WebSocket-86]
A123456789 is connected. (HeartBeat)                         - [17/03/06 13:53:36][INFO][websocket.HeartBeat-24]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:54:43][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:54:43][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@2ea1c3a6 is connected       - [17/03/06 13:54:51][INFO][websocket.WebSocket-86]
A123456789 is connected. (HeartBeat)                         - [17/03/06 13:54:51][INFO][websocket.HeartBeat-24]
org.java_websocket.WebSocketImpl@749bdf44 is connected       - [17/03/06 13:55:38][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 13:55:38][INFO][websocket.HeartBeat-24]
SqlSessionFactoryBuilder created.                            - [17/03/06 13:58:09][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 13:58:09][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@69898225 is connected       - [17/03/06 13:58:18][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 13:58:18][INFO][websocket.HeartBeat-24]
org.java_websocket.WebSocketImpl@26df9347 is connected       - [17/03/06 13:58:30][INFO][websocket.WebSocket-86]
A123456789 is connected. (HeartBeat)                         - [17/03/06 13:58:30][INFO][websocket.HeartBeat-24]
